cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat alpha.cor alpha.bias alpha.abbias alpha.rmse alpha.CI beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
44 78 1296 0 0 0 0 0 1.0003 0 0.0994 0.0103 0.1375 0.1429 0.8051 0.989 -0.069 0.125 0.1733 1.0686 0.7244 0.0031 0.5842 0.7563 4.4065 -0.0073 0.0073 0.2911 0 0
44 79 1273 0 0 0 0 0 1.0007 0 0.9259 0.1024 0.1024 0.1169 0.8209 0.9972 -0.2118 0.2118 0.2341 2.1081 0.7281 -0.1761 0.6241 0.796 4.4166 0.0411 0.0411 0.3007 0 0
44 80 1316 0 0 0 0 0 1.0016 0 1 -0.1363 0.168 0.1887 1.1161 0.9938 -0.3233 0.3246 0.42 2.737 0.7599 -0.0379 0.6354 0.7792 4.396 0.0873 0.0873 0.2847 0 0
44 81 1349 0 0 0 0 0 1.0015 0 0.8139 0.1224 0.2613 0.2928 1.1431 0.9743 0.179 0.2446 0.3012 1.2938 0.7726 0.0497 0.5863 0.7595 4.1668 0.0521 0.0521 0.243 0 0
44 82 1317 0 0 0 0 0 1.0008 0 1 -0.0607 0.1077 0.1309 1.1136 0.9552 0.0102 0.2926 0.4238 2.6107 0.6989 0.0675 0.704 0.8914 4.2426 -0.1362 0.1362 0.4476 0 0
44 83 1310 0 0 0 0 0 1.0007 0 0.9626 0.0175 0.0477 0.0604 0.9298 0.9989 0.1253 0.1253 0.1394 1.8237 0.7494 0.1249 0.5904 0.7516 4.1346 -0.1318 0.1318 0.3635 0 0
44 84 1260 0 0 0 0 0 1.0008 0 -0.3854 0.005 0.2486 0.2729 1.0514 0.9735 -0.2843 0.3148 0.3709 1.5635 0.6327 -0.1198 0.6701 0.8386 4.4491 -0.0324 0.0324 0.3639 0 0
44 85 1327 0 0 0 0 0 1.0005 0 0.9959 -0.0405 0.0953 0.1119 0.8938 0.9868 0.0845 0.1746 0.2495 3.192 0.7271 -0.0902 0.609 0.794 4.5311 -0.0039 0.0039 0.3486 0 0
44 86 1259 0 0 0 0 0 1.0006 0 0.7195 0.078 0.0995 0.1245 0.7584 0.9955 0.1006 0.1347 0.1609 1.2713 0.745 0.0532 0.6852 0.8542 4.6033 0.0729 0.0729 0.292 0 0
44 87 1321 0 0 0 0 0 1.0015 0 0.91 -0.0414 0.1168 0.141 1.0733 0.9948 0.0477 0.1553 0.2073 2.5582 0.7446 -0.1782 0.6526 0.8245 4.5382 0.0128 0.0128 0.3227 0 0
