cond r run.time ndiv nbfmi ntree nbulk ntail maxRhat nRhat beta.cor beta.bias beta.abbias beta.rmse beta.CI theta.cor theta.bias theta.abbias theta.rmse theta.CI lambda.bias lambda.abbias lambda.CI corrupt efficiency
13 131 360 0 0 0 0 0 1.0005 0 0.9345 -0.0755 0.3036 0.3627 2.4063 0.9367 0.0275 0.3114 0.3822 2.4455 -0.0332 0.0332 0.4751 0 0
13 132 411 13 0 0 0 0 1.0003 0 0.9193 0.1125 0.3445 0.459 2.5474 0.8873 0.0636 0.3162 0.4052 2.2462 0.1743 0.1743 0.5 1 0
13 133 394 0 0 0 0 0 1.0002 0 0.8942 0.1747 0.4065 0.6014 2.9775 0.8769 0.1018 0.4031 0.4799 2.4473 -0.1276 0.1276 0.5185 0 0
13 134 359 0 0 0 0 0 1.0008 0 0.9196 0.0202 0.3322 0.4471 2.3184 0.9241 0.1109 0.3378 0.4256 2.1715 0.0387 0.0387 0.4832 0 0
13 135 416 1 0 0 0 0 1.0007 0 0.9328 -0.157 0.2743 0.3998 2.1937 0.9014 -0.1259 0.3734 0.4659 2.3004 0.1708 0.1708 0.4652 1 0
13 136 288 0 0 0 0 0 1.0003 0 0.9558 -0.1226 0.3523 0.5331 2.9798 0.8776 -0.0308 0.3746 0.4634 2.2473 -0.06 0.06 0.524 0 0
13 137 356 0 0 0 0 0 1.0003 0 0.9266 0.2793 0.3441 0.4759 2.3037 0.9093 0.1448 0.3736 0.4541 2.2922 -0.0195 0.0195 0.4911 0 0
13 138 303 0 0 0 0 0 1.0004 0 0.9337 0.0343 0.3341 0.4658 2.3152 0.9261 0.0893 0.3379 0.4388 2.308 -0.1726 0.1726 0.5003 0 0
13 139 381 0 0 0 0 0 1.0005 0 0.9574 0.1516 0.2755 0.3765 2.3307 0.9201 0.2093 0.3364 0.4131 2.0973 -0.0259 0.0259 0.5145 0 0
13 140 355 0 0 0 0 0 1.0004 0 0.9481 -0.1601 0.268 0.3311 2.096 0.9103 -0.2131 0.3538 0.4268 1.984 -0.1712 0.1712 0.5312 0 0
13 141 314 0 0 0 0 0 1.001 0 0.9534 -0.1825 0.2999 0.3783 2.5854 0.9021 -0.1382 0.3332 0.4282 2.3111 -0.1545 0.1545 0.507 0 0
13 142 353 0 0 0 0 0 1.0002 0 0.9055 -0.0635 0.3942 0.5599 2.965 0.9108 0.034 0.318 0.4051 2.3749 0.0344 0.0344 0.4778 0 0
13 143 404 0 0 0 0 0 1.0003 0 0.9473 -0.1748 0.2799 0.3563 1.9728 0.9024 -0.1704 0.3971 0.493 2.3502 0.2179 0.2179 0.442 0 0
13 144 340 0 0 0 0 0 1.0006 0 0.8934 -0.072 0.2924 0.4061 1.7988 0.9171 -0.0281 0.3152 0.3954 2.3718 -0.0273 0.0273 0.5069 0 0
